path,module,size,last_modified,ext
".editorconfig",".editorconfig",454,2026-07-30 20:00:14,"editorconfig"
".gitignore",".gitignore",1794,2026-08-03 08:25:13,"gitignore"
"2026-07-30-233452-local-command-caveatcaveat-the-messages-below.txt","2026-07-30-233452-local-command-caveatcaveat-the-messages-below.txt",18264,2026-07-30 23:34:57,"txt"
"ACCESSIBILITY_GUIDE.md","ACCESSIBILITY_GUIDE.md",3111,2026-07-31 18:15:27,"md"
"angle_b_findings.json","angle_b_findings.json",3817,2026-07-30 22:46:45,"json"
"API.md","API.md",51279,2026-07-30 20:00:14,"md"
"Architecture.md","Architecture.md",62551,2026-07-30 20:00:14,"md"
"ARCHITECTURE_DECISIONS.md","ARCHITECTURE_DECISIONS.md",6735,2026-07-31 20:45:20,"md"
"Audit.md","Audit.md",55459,2026-07-30 20:00:14,"md"
"build.gradle.kts","build.gradle.kts",544,2026-07-30 20:00:14,"kts"
"CHANGELOG.md","CHANGELOG.md",4479,2026-07-31 20:47:35,"md"
"COMPONENT_LIBRARY.md","COMPONENT_LIBRARY.md",3543,2026-07-31 18:15:27,"md"
"CONTRIBUTING.md","CONTRIBUTING.md",40643,2026-07-30 20:00:14,"md"
"DATABASE_SCHEMA.md","DATABASE_SCHEMA.md",4075,2026-07-31 20:54:50,"md"
"DEPLOYMENT_GUIDE.md","DEPLOYMENT_GUIDE.md",3114,2026-07-31 20:44:25,"md"
"DESIGN.md","DESIGN.md",17664,2026-08-02 15:36:12,"md"
"DESIGN_SYSTEM.md","DESIGN_SYSTEM.md",3983,2026-07-31 18:15:27,"md"
"DeveloperGuide.md","DeveloperGuide.md",35890,2026-07-30 20:00:14,"md"
"EngineeringPlan.md","EngineeringPlan.md",71674,2026-07-30 20:00:14,"md"
"EngineeringSpecification.md","EngineeringSpecification.md",46091,2026-07-30 20:00:14,"md"
"findings.json","findings.json",4714,2026-07-30 22:52:47,"json"
"google-services.json","google-services.json",678,2026-08-01 20:13:35,"json"
"gradle.properties","gradle.properties",1180,2026-08-02 01:57:38,"properties"
"gradlew","gradlew",8904,2026-07-30 20:00:15,""
"gradlew.bat","gradlew.bat",2848,2026-07-30 20:00:15,"bat"
"IMPLEMENTATION_LOG.md","IMPLEMENTATION_LOG.md",6505,2026-07-31 20:45:20,"md"
"KNOWN_ISSUES.md","KNOWN_ISSUES.md",18568,2026-08-03 07:28:30,"md"
"LAUNCH_CHECKLIST.md","LAUNCH_CHECKLIST.md",3199,2026-07-31 20:46:25,"md"
"LICENSE","LICENSE",1746,2026-07-31 20:43:08,""
"local.properties","local.properties",588,2026-08-01 20:40:48,"properties"
"OBSERVABILITY_GUIDE.md","OBSERVABILITY_GUIDE.md",2792,2026-07-31 20:43:54,"md"
"Operations.md","Operations.md",39201,2026-07-30 20:00:14,"md"
"OPERATIONS_GUIDE.md","OPERATIONS_GUIDE.md",3022,2026-07-31 20:44:25,"md"
"PHASE_11_ACKNOWLEDGEMENT.artifact.md","PHASE_11_ACKNOWLEDGEMENT.artifact.md",1718,2026-07-31 16:14:37,"md"
"PHASE_12_REPORT.artifact.md","PHASE_12_REPORT.artifact.md",5363,2026-07-31 18:23:31,"md"
"PHASE_2_REPORT.artifact.md","PHASE_2_REPORT.artifact.md",2156,2026-07-31 02:37:25,"md"
"PHASE_3_ACKNOWLEDGEMENT.artifact.md","PHASE_3_ACKNOWLEDGEMENT.artifact.md",2554,2026-07-31 10:08:11,"md"
"PHASE_5_ACKNOWLEDGEMENT.artifact.md","PHASE_5_ACKNOWLEDGEMENT.artifact.md",2128,2026-07-31 11:36:46,"md"
"PHASE_5_STATUS.artifact.md","PHASE_5_STATUS.artifact.md",1145,2026-07-31 11:49:31,"md"
"PHASE_7_ACKNOWLEDGEMENT.artifact.md","PHASE_7_ACKNOWLEDGEMENT.artifact.md",1658,2026-07-31 13:17:08,"md"
"PHASE_9_ACKNOWLEDGEMENT.artifact.md","PHASE_9_ACKNOWLEDGEMENT.artifact.md",1953,2026-07-31 14:40:21,"md"
"PHASE_TRACKER.md","PHASE_TRACKER.md",2133,2026-07-31 20:44:43,"md"
"PRODUCTION_READINESS_REPORT.md","PRODUCTION_READINESS_REPORT.md",4422,2026-07-31 20:46:25,"md"
"ProductSpecification.md","ProductSpecification.md",32122,2026-07-30 20:00:14,"md"
"PROJECT_COMPLETION_REPORT.md","PROJECT_COMPLETION_REPORT.md",6555,2026-07-31 20:47:53,"md"
"PROJECT_STATE.md","PROJECT_STATE.md",7099,2026-07-31 20:54:50,"md"
"ProviderSDK.md","ProviderSDK.md",47227,2026-07-30 20:00:14,"md"
"README.md","README.md",13850,2026-08-02 18:00:59,"md"
"RELEASE.md","RELEASE.md",36467,2026-07-30 20:00:14,"md"
"RELEASE_GUIDE.md","RELEASE_GUIDE.md",2622,2026-07-31 20:44:25,"md"
"REPOSITORY_DOCUMENTATION.md","REPOSITORY_DOCUMENTATION.md",16340,2026-08-02 06:28:17,"md"
"REPOSITORY_MAP.md","REPOSITORY_MAP.md",3153,2026-08-02 06:28:23,"md"
"ROADMAP.md","ROADMAP.md",3475,2026-07-31 20:43:08,"md"
"SECURITY_GUIDE.md","SECURITY_GUIDE.md",4631,2026-07-31 20:43:54,"md"
"settings.gradle.kts","settings.gradle.kts",1390,2026-07-31 15:42:59,"kts"
"TECHNICAL_DEBT_REPORT.md","TECHNICAL_DEBT_REPORT.md",3851,2026-07-31 20:54:50,"md"
"TESTING.md","TESTING.md",41488,2026-07-30 20:00:14,"md"
"TEST_PLAN.md","TEST_PLAN.md",3677,2026-07-31 20:43:54,"md"
"ui_extract.py","ui_extract.py",664,2026-07-31 22:24:38,"py"
"UI_GUIDELINES.md","UI_GUIDELINES.md",3793,2026-07-31 18:15:27,"md"
".audit\feature-inventory.md",".audit",85,2026-08-03 08:30:29,"md"
".audit\module-rollup.csv",".audit",685,2026-08-03 08:32:29,"csv"
".audit\working-vs-broken.csv",".audit",69,2026-08-03 08:30:29,"csv"
"app\.gitignore","app",6,2026-07-30 20:00:14,"gitignore"
"app\build.gradle.kts","app",7638,2026-08-01 20:48:21,"kts"
"app\google-services.json","app",1806,2026-08-02 13:51:58,"json"
"app\proguard-rules.pro","app",4376,2026-07-31 20:57:10,"pro"
"app\src\androidTest\java\com\bangersoul\aivance\ExampleInstrumentedTest.kt","app",694,2026-07-30 20:00:14,"kt"
"app\src\androidTest\java\com\bangersoul\aivance\integration\ProviderIntegrationTest.kt","app",8812,2026-08-01 20:48:39,"kt"
"app\src\main\AndroidManifest.xml","app",4920,2026-08-02 21:06:10,"xml"
"app\src\main\baseline-prof.txt","app",5049,2026-07-31 20:53:14,"txt"
"app\src\main\java\com\bangersoul\aivance\AivanceApp.kt","app",10428,2026-08-01 00:07:11,"kt"
"app\src\main\java\com\bangersoul\aivance\MainActivity.kt","app",4322,2026-08-02 15:47:04,"kt"
"app\src\main\java\com\bangersoul\aivance\ui\theme\Color.kt","app",296,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\ui\theme\Theme.kt","app",1754,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\ui\theme\Type.kt","app",1024,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\AnalyticsSnapshotWorker.kt","app",1290,2026-07-31 15:01:51,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\AnalyticsUploadWorker.kt","app",2843,2026-07-31 15:19:18,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\CacheCleanupWorker.kt","app",2464,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\ConnectivityMonitor.kt","app",5992,2026-07-31 00:25:22,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\DatabaseCleanupWorker.kt","app",2271,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\DownloadManager.kt","app",7365,2026-08-02 17:55:06,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\FollowUpWorker.kt","app",1823,2026-08-02 17:55:06,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\HealthCheckWorker.kt","app",4186,2026-07-30 20:00:14,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\JobSyncWorker.kt","app",1837,2026-07-31 11:11:47,"kt"
"app\src\main\java\com\bangersoul\aivance\worker\NotificationWorker.kt","app",6725,2026-08-02 17:55:19,"kt"
