path,module,kind,name,signature,status,role
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","DatabaseConstants","object DatabaseConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","NetworkConstants","object NetworkConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","ProviderConstants","object ProviderConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","RouteConstants","object RouteConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","KeyConstants","object KeyConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","ValidationConstants","object ValidationConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","AnalyticsConstants","object AnalyticsConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\constant\CoreConstants.kt",core/common,"object","PreferencesConstants","object PreferencesConstants {",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"data-class","SessionInfo","data class SessionInfo(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","sessionId","val sessionId: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","startTime","val startTime: Long,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","endTime","val endTime: Long? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","durationMs","val durationMs: Long? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","screenViews","val screenViews: List<String> = emptyList(),",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","eventsCount","val eventsCount: Int = 0",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"data-class","PerformanceMetric","data class PerformanceMetric(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","name","val name: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","value","val value: Double,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","unit","val unit: String = ""ms"",",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","tags","val tags: Map<String, String> = emptyMap(),",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","timestamp","val timestamp: Long = System.currentTimeMillis()",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"data-class","TraceContext","data class TraceContext(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","traceId","val traceId: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","spanId","val spanId: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","parentSpanId","val parentSpanId: String? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","operationName","val operationName: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","startTime","val startTime: Long = System.currentTimeMillis(),",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","endTime","val endTime: Long? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","tags","val tags: Map<String, String> = emptyMap()",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"data-class","ConsentPreferences","data class ConsentPreferences(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","analyticsEnabled","val analyticsEnabled: Boolean = true,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","crashReportingEnabled","val crashReportingEnabled: Boolean = true,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","performanceMetricsEnabled","val performanceMetricsEnabled: Boolean = true,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","personalizationEnabled","val personalizationEnabled: Boolean = true,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","thirdPartySharingEnabled","val thirdPartySharingEnabled: Boolean = false",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"data-class","ProviderMetric","data class ProviderMetric(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","providerId","val providerId: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","totalCalls","val totalCalls: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","successCount","val successCount: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","failureCount","val failureCount: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","avgLatencyMs","val avgLatencyMs: Double = 0.0,",UNKNOWN,UNKNOWN
