module,kt_files,kt_loc,total_files
app,26,2903,56
core/common,18,2545,19
core/domain,121,6431,122
core/data,55,6061,56
core/database,70,3464,90
core/datastore,8,513,9
core/util,11,929,12
core/designsystem,21,3188,22
core/sdk,23,1773,24
core/ai-providers,12,1340,13
core/job-providers,51,4396,52
core/enrichment-providers,5,440,6
core/network,4,536,5
feature/dashboard,14,1752,17
feature/resume,5,2251,8
feature/ats,5,813,8
feature/coverletter,3,781,6
feature/tracker,8,1215,11
feature/interview,9,596,10
feature/jobs,16,3182,19
feature/profile,23,4893,26
feature/recruiter,3,515,6
feature/analytics,3,439,6
feature/assistant,3,1048,6
navigation,13,3009,16
